nombreOriginal;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX
A;84900;PASAJE;; A;A;10;1;3;2;6
AVILES;84900;CALLE;DE; AVILES;AVILÉS;10;1;3;2;6
A-1;31001337;AUTOVÍA;; ;A-1;16;;;10000;13000
A-2;31001336;AUTOVÍA;; ;A-2;4;;;;
A-2;31001336;AUTOVÍA;; ;A-2;5;;;;
A-2;31001336;AUTOVÍA;; ;A-2;15;;;5000;5000
A-2;31001336;AUTOVÍA;; ;A-2;15;;;5000;5000
A-2;31001336;AUTOVÍA;; ;A-2;16;;;6000;9000
A-2;31001336;AUTOVÍA;; ;A-2;16;;;6000;9000
A-2;31001336;AUTOVÍA;; ;A-2;20;;;6000;15240
A-2;31001336;AUTOVÍA;; ;A-2;20;;;6000;15240
A-2;31001336;AUTOVÍA;; ;A-2;20;;;6000;15240
A-2;31001336;AUTOVÍA;; ;A-2;20;;;6000;15240
A-2;31001336;AUTOVÍA;; ;A-2;21;;;10000;15000
A-2;31001336;AUTOVÍA;; ;A-2;21;;;10000;15000
A-3;31001342;AUTOVÍA;; ;A-3;3;;;;
A-3;31001342;AUTOVÍA;; ;A-3;13;;;4000;7200
A-3;31001342;AUTOVÍA;; ;A-3;13;;;4000;7200
A-3;31001342;AUTOVÍA;; ;A-3;13;;;4000;7200
A-3;31001342;AUTOVÍA;; ;A-3;14;;;4000;6000
A-3;31001342;AUTOVÍA;; ;A-3;18;;;8000;15000
A-3;31001342;AUTOVÍA;; ;A-3;18;;;8000;15000
A-3;31001342;AUTOVÍA;; ;A-3;19;;;1480;15000
A-4;31001334;AUTOVÍA;; ;A-4;13;;;4000;6000
A-4;31001334;AUTOVÍA;; ;A-4;17;;;7000;12000
A-42;31001341;AUTOVÍA;; ;A-42;2;;;;
A-42;31001341;AUTOVÍA;; ;A-42;2;;;;
A-42;31001341;AUTOVÍA;; ;A-42;11;;;5000;6000
A-42;31001341;AUTOVÍA;; ;A-42;11;;;5000;6000
A-42;31001341;AUTOVÍA;; ;A-42;11;;;5000;6000
A-42;31001341;AUTOVÍA;; ;A-42;12;;;5000;6000
A-42;31001341;AUTOVÍA;; ;A-42;12;;;5000;6000
A-42;31001341;AUTOVÍA;; ;A-42;12;;;5000;6000
A-42;31001341;AUTOVÍA;; ;A-42;17;;;7000;9000
A-5;31001340;AUTOVÍA;; ;A-5;9;;;2000;3000
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000
A-5;31001340;AUTOVÍA;; ;A-5;10;;;2000;11000
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000
A-6;31001339;AUTOVÍA;; ;A-6;9;;;6000;15000
ABAD JUAN CATALAN;31000210;CALLE;DEL; ABAD JUAN CATALAN;ABAD JUAN CATALÁN;19;;;6;76
ABADA;200;CALLE;DE LA; ABADA;ABADA;1;1;11;2;14
ABADA;200;CALLE;DE LA; ABADA;ABADA;21;;;;
ABADES;300;CALLE;DE LOS; ABADES;ABADES;1;1;13;2;24
ABADESA;400;CALLE;DE LA; ABADESA;ABADESA;6;1;9;6;8
ABALOS;600;CALLE;DE; ABALOS;ÁBALOS;15;1;5;4;4
ABANDONADA;31001576;CARRETERA;; ABANDONADA;ABANDONADA;8;;;;
ABANICO;700;CALLE;DEL; ABANICO;ABANICO;20;1;5;2;10
ABANTOS;800;CALLE;DE; ABANTOS;ABANTOS;5;1;21;2;4
ABARDERO;900;CALLE;DEL; ABARDERO;ABARDERO;8;1;5;4;12
ABARZUZA;1000;CALLE;DE; ABARZUZA;ABÁRZUZA;16;19;1675;4;1676
ABAY;1100;CALLE;DE; ABAY;ABAY;17;1;11;2;10
ABDON TERRADAS;1150;CALLE;DE; ABDON TERRADAS;ABDÓN TERRADAS;7;1;9;2;12
ABEDUL;1200;CALLE;DEL; ABEDUL;ABEDUL;5;1;27;2;24
ABEGONDO;1300;CALLE;DE; ABEGONDO;ABEGONDO;16;17;1789;16;1790
ABEJARUCO;1301;CALLE;DEL; ABEJARUCO;ABEJARUCO;9;1;21;2;26
ABEJUELA;1400;CALLE;DE LA; ABEJUELA;ABEJUELA;10;1;17;2;18
ABEL;1500;CALLE;DE; ABEL;ABEL;6;1;29;2;28
ABELIAS;2665;CALLE;DE LAS; ABELIAS;ABELIAS;16;1;1;2;22
ABELLA;1600;CALLE;DE; ABELLA;ABELLA;11;1;13;2;28
ABERTURA;1800;CALLE;DE; ABERTURA;ABERTURA;16;15;1867;2;1868
ABETAL;2318;CALLE;DEL; ABETAL;ABETAL;8;1;7;6;10
ABETO;1900;CALLE;DEL; ABETO;ABETO;9;1;7;2;10
ABIZANDA;2100;CALLE;DE; ABIZANDA;ABIZANDA;16;1;1995;2;1996
ABOLENGO;2300;CALLE;DEL; ABOLENGO;ABOLENGO;11;1;35;2;30
ABRANTES;2400;AVENIDA;DE; ABRANTES;ABRANTES;11;1;305;2;168
ABRANTES;2400;AVENIDA;DE; ABRANTES;ABRANTES;11;1;305;2;168
ABRIL;2500;CALLE;DE; ABRIL;ABRIL;20;1;63;2;64
ABTAO;2600;CALLE;DE; ABTAO;ABTAO;3;1;31;2;48
ABTAO;2600;CALLE;DE; ABTAO;ABTAO;3;1;31;2;48
ABUBILLA;2725;RONDA;DE LA; ABUBILLA;ABUBILLA;16;1;51;6;52
ABUNDIO GARCIA ROMAN;31000683;CALLE;DE; ABUNDIO GARCIA ROMAN;ABUNDIO GARCÍA ROMÁN;11;;;;
ABUÑOL;2800;CALLE;DE; ABUÑOL;ABUÑOL;16;5;2235;6;8
ACACIAS;2900;PASEO;DE LAS; ACACIAS;ACACIAS;2;1;69;2;58
ACADEMIA;3000;CALLE;DE LA; ACADEMIA;ACADEMIA;3;1;11;2;12
ACADEMOS;3200;CALLE;DE; ACADEMOS;ACADEMOS;16;1;67;2;40
ACAMAR;3250;CALLE;DE; ACAMAR;ACAMAR;9;1;31;6;18
ACANTILADO;3400;CALLE;DEL; ACANTILADO;ACANTILADO;9;1;17;2;6
ACANTITA;2881;CALLE;DE LA; ACANTITA;ACANTITA;17;1;7;2;14
ACANTO;873;CALLE;DEL; ACANTO;ACANTO;2;1;17;2;26
ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.;1084;CARRETERA;DE; ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.;ACCESO A LA ESTACIÓN DE AUTOBUSES DE LA E.M.T.;13;9;13;8;20
